portfolio_key,name,provider,risk_band,max_equity_pct,min_horizon_years,liquidity_days,reg28_compliant,min_knowledge_band,requires_emergency_fund,underlying_fee_pct,description
1nvest_alsi_40_fund,1nvest ALSI 40 Fund,1nvest,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, passive"
1nvest_global_government_bond_index_feeder_fund,1nvest Global Government Bond Index Feeder Fund,1nvest,2,20,2,5,0,2,0,,"fixed income, bonds, income, interest-rate risk, offshore, currency risk, passive, feeder fund"
1nvest_high_equity_balanced_fund,1nvest High Equity Balanced Fund,1nvest,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
1nvest_index_fund,1nvest Index Fund,1nvest,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, passive"
1nvest_low_equity_balanced_fund,1nvest Low Equity Balanced Fund,1nvest,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation"
1nvest_msci_world_index_feeder_fund,1nvest MSCI World Index Feeder Fund,1nvest,3,75,5,5,0,2,1,,"multi-asset, diversified, medium risk, long term, offshore, currency risk, passive, feeder fund"
1nvest_s_and_p500_index_feeder_fund,1nvest S & P500 Index Feeder Fund,1nvest,3,75,5,5,0,2,1,,"multi-asset, diversified, medium risk, long term, offshore, currency risk, passive, feeder fund"
allan_gray_balanced_fund,Allan Gray Balanced Fund,Allan Gray,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
allan_gray_equity_fund,Allan Gray Equity Fund,Allan Gray,5,100,7,3,0,3,1,,"equity, growth, high risk, long term"
allan_gray_stable_fund,Allan Gray Stable Fund,Allan Gray,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation"
camissa_balanced_fund,Camissa Balanced Fund,Camissa,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
camissa_islamic_balanced_fund,Camissa Islamic Balanced Fund,Camissa,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, Shariah compliant"
camissa_islamic_equity_fund,Camissa Islamic Equity Fund,Camissa,5,100,7,3,0,3,1,,"equity, growth, high risk, long term, Shariah compliant"
camissa_islamic_high_yield_fund,Camissa Islamic High Yield Fund,Camissa,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk, Shariah compliant"
coronation_balanced_defensive_fund,Coronation Balanced Defensive Fund,Coronation,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation"
coronation_balanced_plus,Coronation Balanced Plus,Coronation,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
coronation_balanced_plus_fund,Coronation Balanced Plus Fund,Coronation,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk"
coronation_strategic_income_fund,Coronation Strategic Income Fund,Coronation,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk"
excelsior_flexible_income,Excelsior Flexible Income,External Asset Manager,2,20,2,3,1,2,0,,"fixed income, bonds, income, interest-rate risk"
liberty_balanced_equity_tracker,Liberty Balanced Equity Tracker,Liberty,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, passive"
liberty_balanced_equity_tracker_c,Liberty Balanced Equity Tracker C,Liberty,3,75,5,3,1,2,1,,"multi-asset, balanced, moderate growth, medium risk, passive, C class"
liberty_capped_tracker,Liberty Capped Tracker,Liberty,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term, passive"
liberty_capped_tracker_c,Liberty Capped Tracker C,Liberty,3,75,5,3,1,2,1,,"multi-asset, diversified, medium risk, long term, passive, C class"
liberty_cash_tracker,Liberty Cash Tracker,Liberty,1,0,0,1,1,1,0,,"cash, money market, capital stability, high liquidity, passive"
liberty_conserv_equity_tracker,Liberty Conserv Equity Tracker,Liberty,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation, passive"
liberty_conserv_equity_tracker_c,Liberty Conserv Equity Tracker C,Liberty,2,40,3,3,1,2,1,,"low equity, multi-asset, conservative, capital preservation, passive, C class"
